signal_id,source_id,source_name,signal,classification,risk_level,review_status,priority,source_link,source_credibility_score,lending_relevance_score,manual_review_need_score,brief_candidate_score,quality_tier_cn,quality_tier_en,recommended_use_cn,recommended_use_en,quality_reason_cn,quality_reason_en
25,ccpc_public_notices,Competition and Consumer Protection Commission Notices,"The law further prohibits unfair trading practices, including misleading representations, false or incomplete disclosure of material information, and conduct that may be considered unconscionable. These provisions are designed to promote fairness, accountability, and confidence in the marketplace fo",news_signal,high,reviewed,1,https://www.ccpc.org.zm/#item-105,92,77,73,84,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；需要优先人工回源；高风险标签,official or high-trust public source; needs priority source review; high-risk label
194,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2025-01-01 | Circulars | CB Circular No. 04 of 2025 - Mandatory Use of the Montran Gateway on the Zambia Interbank Payment and Settlement System | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2025/CBCircularNo.04of2025Ma",repayment,low,reviewed,1,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2025/CBCircularNo.04of2025MandatoryUseoftheMontranGatewayontheZambiaInterbankPaymentandSettlementSystem.pdf,92,99,60,84,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
201,boz_mobile_payments_directive_2020,Bank of Zambia ATM POS Internet Transactions and Mobile Payments Directive 2020,BoZ ATM/POS/Internet Transactions and Mobile Payments Directive 2020 (metadata-only PDF; manual read/OCR needed),repayment,low,reviewed,1,https://www.boz.zm/sites/default/files/migrated/regulatory/202002DomesticAutomatedTellerMachinePointofSaleInternetTransactionsandMobilePayments.pdf#page=1-item-1,92,99,60,84,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
352,competitor_lupiya_home,Competitor Watch - Lupiya Home,Select type of loan and choose repayment plan and rate that works for you.,repayment,low,reviewed,1,https://www.lupiya.com/#item-77,76,97,82,83,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
410,competitor_premiercredit_borrow,Competitor Watch - PremierCredit Borrow,"Loans up to K1,000,000 for Small Medium Enterprises (SMEs). These loans are tailor-made to the needs of SMEs with personalized and flexible repayment plans according to the client’s business.",repayment,low,reviewed,1,https://www.premiercredit.co.zm/borrow/#item-74,76,97,82,83,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
225,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2022-01-01 | Circulars | CB CIRCULAR NO.16 OF 2022 DUE DILIGENCE ON ENTITIES PARTNERED WITH OR ENGAGED TO PROVIDE PAYMENT SERVICES | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.16OF2022DUEDILIGENCEONEN",repayment,low,reviewed,1,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.16OF2022DUEDILIGENCEONENTITIESPARTNEREDWITHORENGAGEDTOPROVIDEPAYMENTSERVICES.pdf,92,97,60,83,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
336,competitor_lupiya_loans,Competitor Watch - Lupiya Loans,"Agri Loans Supporting farmers with loans for seeds, equipment, or harvesting Apply now > Supporting farmers with loans for seeds, equipment, or harvesting Apply now >",fees,medium,reviewed,2,https://app.lupiya.com/business-clients/agri-loan,76,88,83,82,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
186,data_protection_commission_home,Data Protection Commission Zambia,"Compliance Oversight: Monitor and regulate organizations' compliance with data protection regulations, and promoting responsible data handling practices",privacy,low,reviewed,1,https://www.dataprotection.gov.zm/#item-78,92,95,60,82,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
196,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2025-01-01 | Circulars | CB Circular No. 23/2025 - Revision of Operating Rules for the Zambia Interbank Payment and Settlement | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2025/CBCircularNo.23of2025RevisionofOperatingR",repayment,low,reviewed,1,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2025/CBCircularNo.23of2025RevisionofOperatingRulesfortheZambiaInterbankPaymentandSettlement.pdf,92,95,60,82,优先阅读,Priority read,放入首页 Top 5，并回源复核,Put in Top 5 and source-review,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
334,competitor_lupiya_loans,Competitor Watch - Lupiya Loans,Civil Servant Loans Low interest loans for government workers. Apply now > Low interest loans for government workers. Apply now >,fees,low,reviewed,1,https://www.lupiya.com/civil-service,76,90,88,81,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
411,competitor_premiercredit_borrow,Competitor Watch - PremierCredit Borrow,This loan enables businesses to leverage the value of their sales ledger. Keep the receivables bills of your business as security and repay the credit when you receive cash from your customers.,repayment,low,reviewed,1,https://www.premiercredit.co.zm/borrow/#item-75,76,92,82,81,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
192,data_protection_commission_home,Data Protection Commission Zambia,"Data in Your Hands, Rights in Your Control",privacy,low,reviewed,1,https://www.dataprotection.gov.zm/data-in-your-hands-rights-in-your-control/,92,94,60,81,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
23,ccpc_public_notices,Competition and Consumer Protection Commission Notices,"The Competition and Consumer Protection Commission (“the Commission”) wishes to remind members of the public that the law provides for fair, transparent, and honest conduct in the marketplace. Consumers are entitled to receive accurate and sufficient information about goods and services to enable th",regulatory,low,reviewed,1,https://www.ccpc.org.zm/#item-103,92,93,60,81,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
223,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2022-01-01 | Circulars | CB CIRCULAR NO. 13 OF 2022 - REVIEW OF THE DRAFT NATIONAL PAYMENT SYSTEMS VISION AND STRATEGY 2023 - 2027 | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.13OF2022REVIEWOFTHEDRAFT",repayment,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.13OF2022REVIEWOFTHEDRAFTNATIONALPAYMENTSYSTEMSVISIONANDSTRATEGY20232027.pdf,92,97,51,81,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
332,competitor_lupiya_loans,Competitor Watch - Lupiya Loans,Instant Loan Get K500 instantly and pay it back over 3 months. Coming soon Get K500 instantly and pay it back over 3 months. Coming soon,fees,low,reviewed,1,https://www.lupiya.com/loans,76,88,88,80,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
413,competitor_premiercredit_borrow,Competitor Watch - PremierCredit Borrow,"This loan is designed to support farmers seeking funds for land, equipment, or operational expenses, and an agribusiness looking to expand or modernize agricultural production.",competitor_change,medium,reviewed,2,https://www.premiercredit.co.zm/borrow/#item-77,76,86,76,80,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
434,competitor_floan_home,Competitor Watch - FLoan Home,Email support@floan.co Email,competitor_change,medium,reviewed,2,https://www.floan.co/,76,86,76,80,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
199,boz_e_money_directives_2023,Bank of Zambia Electronic Money Issuance Directives 2023,BoZ Electronic Money Issuance Directives 2023 (metadata-only PDF; manual read/OCR needed),regulatory,low,reviewed,1,https://www.boz.zm/sites/default/files/migrated/regulatory/Directive202307ElectronicMoneyIssuance2023.pdf#page=1-item-1,92,91,60,80,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
246,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2018-01-01 | Circulars | CB CIRCULAR 01 2018 - NATIONAL PAYMENT SYSTEMS DIRECTIVES ON ELECTRONIC MONEY ISSUANCE 2018 | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2018/CBCircularNo.012018NATIONALPAYMENTSYSTEMSDIRECTIVES",repayment,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2018/CBCircularNo.012018NATIONALPAYMENTSYSTEMSDIRECTIVESONELECTRONICMONEYISSUANCE2018.pdf,92,95,51,80,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
338,competitor_lupiya_loans,Competitor Watch - Lupiya Loans,Collateral-backed Loans Have an asset? Use it to get a bigger loan with better rates. Apply now > Have an asset? Use it to get a bigger loan with better rates. Apply now >,fees,low,reviewed,1,https://app.lupiya.com/collateral-backed-loan,76,88,82,79,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
422,competitor_floan_home,Competitor Watch - FLoan Home,"Floan is a microloan app in Zambia offering access to credit, with loan amounts of up to K 6,000, subject to eligibility and terms.",fees,low,reviewed,1,https://www.floan.co/#item-29,76,88,82,79,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
184,data_protection_commission_home,Data Protection Commission Zambia,"The Data Protection Commissioner (DPC) of Zambia is charged with the responsibility and central authority for overseeing and enforcing data protection regulations in Public bodies and Private Institutions through licensing of Auditors, registration of data processors and controllers, to ensuring tha",privacy,low,reviewed,1,https://www.dataprotection.gov.zm/#item-76,92,90,60,79,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
189,data_protection_commission_home,Data Protection Commission Zambia,Data Protection Act Learn More,privacy,low,reviewed,1,http://www.dataprotection.gov.zm/wp-content/uploads/2024/06/Act-No.-3-The-Data-Protection-Act-2021_0-2.pdf,92,88,60,79,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
190,data_protection_commission_home,Data Protection Commission Zambia,"Control Your Data, Protect Your Rights",privacy,low,reviewed,1,https://www.dataprotection.gov.zm/#item-93,92,90,60,79,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
216,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2023-01-01 | Circulars | CB CIRCULAR NO. 16 OF 2023 - BANK OF ZAMBIA CYBER AND INFORMATION RISK MANAGEMENT GUIDELINES | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2023/CBCIRCULARNO.16OF2023BANKOFZAMBIACYBERANDINFORMATI",regulatory,low,reviewed,1,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2023/CBCIRCULARNO.16OF2023BANKOFZAMBIACYBERANDINFORMATIONRISKMANAGEMENTGUIDELINES.pdf,92,89,60,79,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
202,boz_money_transfer_services_directives_2021,Bank of Zambia Money Transfer Services Directives 2021,BoZ Money Transfer Services Directives 2021 (metadata-only PDF; manual read/OCR needed),regulatory,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/regulatory/202109NationalPaymentSystemsMoneyTransferServicesDirectives.pdf#page=1-item-1,92,93,51,79,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
407,competitor_premiercredit_borrow,Competitor Watch - PremierCredit Borrow,"Salary advances are the most affordable and convenient to meet your urgent cash needs. Approval happens in 24hrs and you get your money immediately. Get salary advances up to K10,000 .",competitor_change,low,reviewed,1,https://www.premiercredit.co.zm/borrow/#item-71,76,86,81,78,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
408,competitor_premiercredit_borrow,Competitor Watch - PremierCredit Borrow,"Personal loans can help you cover large expenses. You can either buy assets, finance your education, and or home improvement with a Personal Loan of up to K250,000 up to 60 months .",competitor_change,low,reviewed,1,https://www.premiercredit.co.zm/borrow/#item-72,76,86,81,78,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
340,competitor_lupiya_loans,Competitor Watch - Lupiya Loans,Get a loan in just 5 Minutes,fees,low,reviewed,2,https://www.lupiya.com/loans#item-72,76,88,79,78,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
195,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2025-01-01 | Circulars | CB Circular No. 18 of 2025 - Six Day Operations at the BCM Centre for ZIPSS CSD and Bank Supervision Applications | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2025/CBCircularNo.18of2025SixDayOp",regulatory,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2025/CBCircularNo.18of2025SixDayOperationsattheBCMCentreforZIPSSCSDandBankSupervisionApplications.pdf,92,91,51,78,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
198,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2024-01-01 | Circulars | CB Circular No. 16 of 2024 - Implementation of Extended Operating Hours on the ZIPSS and CSD | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2024/CBCircularNo.16of2024ImplementationofExtendedOpera",regulatory,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2024/CBCircularNo.16of2024ImplementationofExtendedOperatingHoursontheZIPSSandCSD.pdf,92,91,51,78,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
234,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2021-01-01 | Circulars | CB CIRCULAR NO. 19 OF 2021 - POST IMPLEMENTATION ISSUES ON THE NATIONAL FINANCIAL SWITCH | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO.19OF2021POSTIMPLEMENTATIONISSUESONTHENATI",regulatory,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2021/CBCIRCULARNO.19OF2021POSTIMPLEMENTATIONISSUESONTHENATIONALFINANCIALSWITCH.pdf,92,91,51,78,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
333,competitor_lupiya_loans,Competitor Watch - Lupiya Loans,"Loans for Yango Drivers Get money for car expenses like fuel top up, car maintenance. Get money for car expenses like fuel top up, car maintenance.",fees,low,reviewed,2,https://www.lupiya.com/loans,76,88,73,77,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
335,competitor_lupiya_loans,Competitor Watch - Lupiya Loans,Lupiya for Women Special loans to help women grow their businesses. Learn more > Special loans to help women grow their businesses. Learn more >,fees,low,reviewed,2,https://app.lupiya.com/women,76,88,73,77,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
337,competitor_lupiya_loans,Competitor Watch - Lupiya Loans,Zambia Defence Forces Tailored loans for our heroes in uniform. Apply now > Tailored loans for our heroes in uniform. Apply now >,fees,low,reviewed,2,https://app.lupiya.com/zambia-defence-forces/fixed-term-loan,76,88,73,77,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
183,data_protection_commission_home,Data Protection Commission Zambia,Mandate of the Data Protection Commission in Zambia,privacy,low,reviewed,2,https://www.dataprotection.gov.zm/#item-75,92,88,51,77,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
